ROLL_DMP,ROLL_ACC,ROLL_RATE_DMP,ROLL_RATE_GYRO
9.5960,17.5943,-5.4268,-5.4268
9.6003,17.3937,-5.5488,-5.5488
9.6029,17.3275,-5.4878,-5.4878
9.6046,17.1612,-5.4878,-5.4878
9.6079,17.2113,-5.3659,-5.3659
9.6113,17.4597,-5.4268,-5.4268
9.6152,17.2977,-5.4878,-5.4878
9.6190,17.3822,-5.4268,-5.4268
9.6230,17.3970,-5.3659,-5.3659
9.6271,17.3681,-5.3049,-5.3049
9.6308,17.3997,-5.3659,-5.3659
9.6328,17.3740,-5.4878,-5.4878
9.6352,17.2897,-5.4878,-5.4878
9.6383,17.0948,-5.3659,-5.3659
9.6417,17.2230,-5.3049,-5.3049
9.6444,17.3664,-5.4878,-5.4878
9.6467,17.1399,-5.5488,-5.5488
9.6489,17.4350,-5.4878,-5.4878
9.6514,17.2589,-5.4268,-5.4268
9.6539,17.3197,-5.3659,-5.3659
9.6575,17.3203,-5.4268,-5.4268
9.6596,17.2570,-5.6098,-5.6098
9.6611,17.3562,-5.4878,-5.4878
9.6642,17.4925,-5.3659,-5.3659
9.6696,17.2713,-5.3049,-5.3049
9.6708,17.4820,-5.6098,-5.6098
9.6730,17.4353,-5.4878,-5.4878
9.6750,17.4816,-5.4878,-5.4878
9.6785,17.3377,-5.3659,-5.3659
9.6819,17.4322,-5.4268,-5.4268
9.6843,17.4972,-5.5488,-5.5488
9.6860,17.4592,-5.5488,-5.5488
9.6889,17.2573,-5.3659,-5.3659
9.6906,17.0812,-5.4268,-5.4268
9.6922,17.1719,-5.4268,-5.4268
9.6936,17.2954,-5.4878,-5.4878
9.6955,17.3716,-5.4878,-5.4878
9.6984,17.2868,-5.3659,-5.3659
9.7007,17.5245,-5.3659,-5.3659
9.7039,17.4245,-5.4268,-5.4268
9.7063,17.3347,-5.5488,-5.5488
9.7078,17.4343,-5.4878,-5.4878
9.7109,17.3888,-5.4268,-5.4268
9.7150,17.3908,-5.3049,-5.3049
9.7176,17.3162,-5.4268,-5.4268
9.7191,17.3472,-5.4878,-5.4878
9.7204,17.2236,-5.4878,-5.4878
9.7223,17.2721,-5.4878,-5.4878
9.7243,17.2292,-5.4878,-5.4878
9.7262,17.4690,-5.4268,-5.4268
9.7295,17.1968,-5.4268,-5.4268
9.7311,17.4589,-5.4878,-5.4878
9.7341,17.5102,-5.4268,-5.4268
9.7371,17.4946,-5.4268,-5.4268
9.7399,17.0795,-5.4268,-5.4268
9.7410,17.1116,-5.4268,-5.4268
